,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
130,Rudrateck Solution,Data Analyst,New Delhi,"RESPONSIBILITIES:
1. Organising data related to sales numbers, market research, telecalling activities and telecaller behaviour
2. Developing and maintaining databases and data systems- reorganising data in readable format
3. Using statistical tools to identify, analyze, and interpret patterns and trends in complex data sets-helpful for the diagnosis and prediction; Creating business dashboards for EDA
4. Filter data by reviewing reports and performance indicators to identify and correct MIS/Process/Code problems
5. Analyzing numbers of essential business channels so that business performance can be assessed & compared over period of time
Show More
Report",₹8L,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
131,"American Express Global Business Travel
3.9",BI Analyst,India,"Amex GBT is a place where colleagues find inspiration in travel as a force for good and – through their work – can make an impact on our industry. We’re here to help our colleagues achieve success and offer an inclusive and collaborative culture where your voice is valued.

Ready to explore a career path? Start your journey.
American Express Global Business Travel (GBT) equips companies of all sizes with the insights, tools, services and expertise they need to keep their travelers informed, focused and productive while on the road. With approximately 18,000 employees and operations in nearly 140 countries worldwide, American Express GBT empowers customers to take control of their travel programs, optimizing the return on their travel and meetings investments, while, more importantly, providing extraordinary traveler care.
American Express Global Business Travel (GBT) is a global leader in business travel and meetings management committed to helping business succeed through cost-effective program management, world-class customer service, and enhanced traveller productivity support worldwide. GBT brings the talent, tools, and management consulting acumen needed to help manage companies’ T&E spend and maximize the return on their investments in employee travel and other areas of indirect cost. Specialized expertise includes: T&E policy, sourcing and supplier management, change management and compliance management, business intelligence, on-going travel category management, payment and expense reimbursement management, and related business process outsourcing (BPO) best practices.

India - Virtual Location

Show More
Report",#N/A,10000+ Employees,Company - Public,Hotel & Travel Accommodation,Travel Agencies,1915,Unknown / Non-Applicable
132,"Microsoft
4.3",Silicon Engineer - Internship Opportunities,India,"Every year, we welcome thousands of university students from every corner of the world to join Microsoft. You bring your aspirations, talent, potential—and excitement for the journey ahead.

At Microsoft, Interns work on real-world projects in collaboration with teams across the world, while having fun along the way. You’ll be empowered to build community, explore your passions and achieve your goals. This is your chance to bring your solutions and ideas to life while working on cutting-edge technology. The internship is designed not only for you to do great work with the opportunity to learn and grow, but to experience our culture full of diverse community connection, executive engagement, and memorable events.

We’re a company of learn-it-alls rather than know-it-alls and our culture is centered around embracing a growth mindset, a theme of inspiring excellence, and encouraging teams and leaders to bring their best each day. Does this sound like you? Learn more about our cultural attributes.
Are you ready to join us and create the future? Come as you are, do what you love—start your journey with us today!




Microsoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations.
Show More
Report",#N/A,10000+ Employees,Company - Public,Information Technology,Computer Hardware Development,1975,$10+ billion (USD)
133,Edureka learning center,Data science trainer,Madurai,"DATA Science Trainer
Veranda Edureka Learning Center KK nagar, Madurai, Tamil Nadu
Qualification: B.E/B.Tech./M.Tech./MCA in the relevant field of study. Should have worked in
Experience: minimum 5 year experience
Salary:3,500/day
Incentives:Based on the performance.
And who are interested to learn and adapt to new technologies.
To be successful as a faculty, you should review/prepare/assessments that enrich and challenge students.


Show More
Report",₹11L,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
134,Firstcareer,Data Science/Analyst Instructor,Indore,"Responsibilities:
We are looking for Instructors who can take sessions on the following modules of Data Science and Data Analysis :
Excel
SQL
Python
Power BI
Machine learning
Deep Learning
Keeping a check on the interactivity of the team.
Show More
Report",₹7T - ₹8T,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
135,Igsrs,Intern Software Business Analyst,Remote,"We are looking for aspirants who would want to make career as Business Analyst/Project Management/Customer Success Initiatives
We are Cloud Based Software based in US, You will be responsible to work on following with team and some of your responsibilities would be
Understanding the client's needs and objectives. ●. ● Testing / help test the new requirements to ensure it meets the client's objectives. ● Helping / preparing release notes/user manual of the new features developed. ● Preparing process flows, wireframes & mockups. ● Gap Analysis. Client Interaction(Training and Implementation and other solutions) ●Provide Training to clients about how to use the solution and get the desired output. (Onsite and Offsite) ● Helping configure the system to generate rules and alerts. Tracking Projects
Note -Please do not apply if you are looking for Analytics or Data science based technology like Power BI and Tableau
Show More
Report",₹7T - ₹8T,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
136,Pragra,Machine Learning Engineer,Noida,"We are looking for a highly capable machine learning engineer to optimize our machine learning systems. You will be evaluating existing machine learning (ML) processes, performing statistical analysis to resolve data set problems, and enhancing the accuracy of our AI software's predictive automation capabilities.
To ensure success as a machine learning engineer, you should demonstrate solid data science knowledge and experience in a related ML role. A first-class machine learning engineer will be someone whose expertise translates into the enhanced performance of predictive automation software.
Machine Learning Engineer Responsibilities:
Designing machine learning systems and self-running artificial intelligence (AI) software to automate predictive models.
Transforming data science prototypes and applying appropriate ML algorithms and tools.
Show More
Report",₹8L - ₹12L,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
137,Foursis Technical Solutions,Analytics Data science,Ahmedabad,"Responsibilities
Understanding the overall Business Strategies, vision, plans and
specific requirement to align with Data Science efforts
Agree with the customer on the Acceptance Criteria and
communicate to the team
Making sure the team understands the Business Processes and
data
Manage EDA (Exploratory Data Analysis), Data Sourcing/Cleansing,

Show More
Report",₹15L - ₹20L,1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
138,PROTIVITI INDIA MEMBER PRIVATE LIMITED,Power BI Analyst,Mumbai,"Job Description: Power BI Analyst for Logistics Industry
As a Power BI Analyst specializing in the logistics industry, you will play a crucial role in leveraging data-driven insights to optimize operations, improve decision-making, and enhance overall efficiency within the logistics and supply chain functions. You will be responsible for transforming raw data into meaningful visualizations and reports that facilitate strategic planning, performance monitoring, and resource allocation. Your analytical skills, domain expertise, and technical proficiency with Power BI will contribute to the organization's success in achieving its logistics objectives.
Key Responsibilities:
Data Integration and Modelling:
Collaborate with cross-functional teams to gather data from various sources, including internal systems and external partners.
Show More
Report",₹5L - ₹15L,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
139,"Codvo.ai
4.7",Business Intelligence Engineer,Remote,"Company Overview
At Codvo, software and people transformations go hand-in-hand. We are a global empathy-led technology services company. Product innovation and mature software engineering are part of our core DNA. Respect, Fairness, Growth, Agility, and Inclusiveness are the core values that we aspire to live by each day. We continue to expand our digital strategy, design, architecture, and product management capabilities to offer expertise, outside-the-box thinking, and measurable results.
Responsibilities:
Design and develop interactive dashboards, reports, and visualizations using any two of the following - Tableau, Power BI and DOMO that provide actionable insights to stakeholders.
Should have experience in working with custom visuals with keen focus on Map Visuals.
Have good understanding of Business Documentation – BRD, FSR, User guides.
Show More
Report",#N/A,51 to 200 Employees,Company - Private,Information Technology,Information Technology Support Services,2019,Unknown / Non-Applicable
140,"GlobalLogic
3.9",DB Developer(SQL) IRC185945,Hyderābād,"Description:

Join GlobalLogic, to be a valid part of the team working on a huge software project for the world-class company providing M2M / IoT 4G/5G modules e.g. to the automotive, healthcare and logistics industries. Through our engagement, we contribute to our customer in developing the end-user modules' firmware, implementing new features, maintaining compatibility with the newest telecommunication and industry standards, as well as performing analysis and estimations of the customer requirements.

Requirements:

We are looking for a Database Developer having 8+ years of Exp. to work on our digital marketing solutions to deliver the best insight experience for our major search customers.



Our ideal candidate is good at writing complex SQL scripts/procedures/functions, problem solver and a learner at heart. You should have a very high degree of comfort in SQL programming language.



Work as Technical Project Manager to plan and execute projects, ensure that teams have appropriate product and technical specifications, direction, and resources to deliver products effectively by establishing realistic estimates for timelines while ensuring that projects remain on target to meet deadlines.

. Hands on experience on developing applications in Python and Javascript technologies.





Should have experience of resolving performance issues, query optimization, database tuning, interpreting query execution plans, resolving deadlocks etc.



Should have experience of resolving performance issues, query optimization, database tuning, interpreting query execution plans, resolving deadlocks etc.

You have previously worked on building data pipelines ingesting and transforming large number of events per minute and terabytes of data per day.

You have worked with any sql interface before and have experimented or heard about nosql implementation and understand when to use one over the other. Preferably, you have worked with cloud based big data processing platform such as Google Cloud DataProc.

You are passionate about producing clean, maintainable and testable code part of real-time data pipeline.

You can connect different services and processes together even if you have not worked with them before and follow the flow of data through various pipelines to debug data issues.

You understand issues with ingesting data from applications in multiple data centres across geographies, on-premise and cloud and will find a way to solve them.

Working knowledge of linux environment is a plus

Previous experience of working with Google tools/gadgets is a big plus

Strong leadership and management skills .

Data Warehousing/Data Modelling - Very strong SQL, data modelling and transformation

Skills - with the ability to manipulate large data-sets, automate processes and debug scripts.

Creation and monitoring of reports.

Extracting, manipulating and analyzing data.

Partner with teams to create an overall delivery strategy



We focus on industries like High-Tech, communication, media, healthcare, retail and telecom. Our customer list is full of fantastic global brands and leaders who love what we build for them.

You Can expand your skills by collaborating with a diverse team of highly talented people in an open, laidback environment - or even abroad in one of our global centers or client facilities!

GlobalLogic prioritizes work-life balance, which is why we offer flexible work schedules, opportunities to work from home, and paid time off and holidays.

Our dedicated Learning & Development team regularly organizes Communication skills training(GL Vantage, Toast Master),Stress Management program, professional certifications, and technical and soft skill trainings.

We provide our employees with competitive salaries, family medical insurance, Group Term Life Insurance, Group Personal Accident Insurance , NPS(National Pension Scheme ), Periodic health awareness program, extended maternity leave, annual performance bonuses, and referral bonuses.

We want you to love where you work, which is why we host sports events, cultural activities, offer food on subsidies rates, Corporate parties. Our vibrant offices also include dedicated GL Zones, rooftop decks and GL Club where you can drink coffee or tea with your colleagues over a game of table and offer discounts for popular stores and restaurants!



GlobalLogic is a leader in digital engineering. We help brands across the globe design and build innovative products, platforms, and digital experiences for the modern world.

By integrating experience design, complex engineering, and data expertise-we help our clients imagine what's possible, and accelerate their transition into tomorrow's digital businesses.

Headquartered in Silicon Valley, GlobalLogic operates design studios and engineering centers around the world, extending our deep expertise to customers in the automotive, communications, financial services, healthcare and life sciences, manufacturing, media and entertainment, semiconductor, and technology industries.

GlobalLogic is a Hitachi Group Company operating under Hitachi, Ltd. (TSE: 6501) which contributes to a sustainable society with a higher quality of life by driving innovation through data and technology as the Social Innovation Business.
Show More
Report",₹4L - ₹4L ,10000+ Employees,Company - Private,Information Technology,Information Technology Support Services,2000,$100 to $500 million (USD)
141,"Sinarmas Land
4.2",Data Analyst,Orissa,"Job Description :
Implement data analysis procedures and techniques to identify potential areas of risk or non-compliance.
Collect and analyze large amounts of data from various sources, such as financial systems, operational systems, and other data repositories
Apply professional skepticism when assessing data sources and validate completeness and accuracy of data received
Assist in the documentation of functional, technical and source data requirements
Support data requests from the Internal Audit team. Activities may include extracting and downloading data, organizing that data, data scrubbing and performing analyses including documentation of the steps performed
Show More
Report",#N/A,10000+ Employees,Company - Private,Agriculture,Crop Production,1962,Unknown / Non-Applicable
142,MMStartup,BI Analyst,Chennai,"**************************************************************************************************************************
MMStartup is a pre-startup domain dedicated to Market Research and other R&D activities.
Currently, we are conducting integration testing from external websites such as Indeed, Glassdoor, and others. We'd like to ask potential candidates to disregard this job posting, and we apologize for any inconvenience caused during the job analysis process. **************************************************************************************************************************

Job Responsibilities:
Analyze business data to provide actionable insights for decision-making.
Develop and maintain dashboards and reports using business intelligence tools.














Show More
Report",₹9L,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
143,Innomatics Research Labs,Data Science Instructor,Hyderābād,"Every day 2 Data Science sessions will be assigned.
Need to mentor the students for the projects.
Deliver Data Science course demo to the new participants whenever needed.
Check for the new updates & suggest to implement for Data Science
Course Curriculum.
Preparation of assessment questions
Solving the students queries.
Handling queries of potential customers about the course.

Show More
Report",₹14L,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
144,Softpixel Solutions Private Limited,Data Analytics Specialist,Mumbai,"Summary:
We're hiring a Digital Marketing Analytics Specialist for a General Insurance Company to lead data-driven decision-making in our digital marketing strategies. If you're skilled in digital marketing analytics, AB testing, and tools like Google Analytics and Mixpanel, join us to optimize our online performance and enhance customer experience.
Responsibilities:
Utilize digital marketing data to derive insights and track key performance indicators.
Plan and implement AB testing initiatives to enhance customer engagement and conversion rates.
Leverage tools like Google Analytics and Mixpanel to monitor user behavior across digital platforms.


Show More
Report",₹40T - ₹80T,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
145,UniConverge Technologies Pvt. Ltd.,Machine Learning Intern,India,"Job Summary
Make Project evalution and guidance, /mentorship on Data Science, Machine Learning and AI
Responsibilities and Duties
- Decide course syllabus, contents, and presentations
- Counselling to students
Required Experience, Skills and Qualifications
- Good knowledge about Mathematical models, ML, DS, DL concepts
- Hands on practice on ML Algorithms


Show More
Report",₹8T - ₹10T,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
146,REIZEND PRIVATE LIMITED,DATA ANALYST (Freshers Can also Apply),Thiruvananthapuram,"We are seeking skilled and motivated individuals who love data and statistics and who are eager to continuously enhance their skills and knowledge through self-learning and collaborative workshops.
As a Data Analyst/Data Scientist, you will be responsible for creating data pipelines, fetching data via ETL/ELT mechanisms, processing and analysing the data, creating business KPIs and visualizing the data as beautiful dashboards in order to extract valuable insights and provide actionable recommendations.
Job Responsibilities
· Gather, cleanse, and organize data from various sources, ensuring data integrity and accuracy.
· Analyse complex datasets using data mining, statistical techniques, and visualization tools to identify patterns, trends, and correlations.

Show More
Report",₹4L - ₹6L,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
147,"Siemens
4.1",Data Analyst - Hire to Retire,Bengaluru,"Hello Visionary!
We empower our people to stay resilient and relevant in a constantly changing world. We’re looking for people who are always searching for creative ways to grow and learn. People who want to make a real impact, now and in the future. Does that sound like you? Then it seems like you’d make a great addition to our vibrant international team.
We provide our Hire-to-Retire services along the complete lifecycle of an employee from onboarding to pension services and leverage our powerful ecosystem of leading external and internal partners and our network of key delivery centers We believe in the value of industry best-practice standards achieved through evolving technology and digitalization. We focus on employee experience as a key driver of our actions. In doing so, we deliver flexibility, quality and efficiency for the businesses we partner with
You’ll make a difference by:
Show More
Report",₹5L - ₹8L ,10000+ Employees,Company - Public,Manufacturing,Electronics Manufacturing,1847,$10+ billion (USD)
148,"Tookitaki Holding PTE LTD
4.4","Big Data Solutions Data Science-India,REMOTE",India,"Job Title: Big Data Solutions Data Science
Reporting to: Director, Product management
Location: India (Remote)
Our Ideal Candidate
We are seeking a highly skilled data scientist to join our team and lead the implementation of our proprietary Big Data Machine Learning solution in the financial crime space. You will be responsible for identifying and analyzing complex financial data, configuring predictive models, and implementing advanced analytical methods to test and validate output generated by the predictive models. The key responsibilities will include –
Responsibilities:
Show More
Report",#N/A,51 to 200 Employees,Company - Private,Information Technology,Enterprise Software & Network Solutions,2014,$1 to $5 million (USD)
149,"Virtusa
3.8",Data Analyst,Chennai,"Confirmed experience of operating with complex integrated systems, using creative and critical thinking to deliver outstanding results
Requirements elicitation, approvals, processes and scope impacts
Ability to plan ahead for potential changes and corrective actions
Building traceability, testing and validation materials
Ability to lead work with the business to identify functional and technical requirements
Translating requirements into design and process specifications
Shape and define business cases, producing detailed business justification
You will need great interpersonal skills & a collaborative approach to delivery
Able to analyse solutions proposals and articulate supporting reasoning
Experience delivering in a GxP or regulated environment
Experience in process and definition materials
Experience in the pharmaceutical or life sciences industries
Mandatory Skills: Data engineering




Show More
Report",₹3L - ₹5L ,10000+ Employees,Company - Private,Information Technology,Information Technology Support Services,1996,$2 to $5 billion (USD)
150,Findability Sciences,Power BI - Snowflake consultant,Remote,"Role : Power BI - Snowflake Consultant
Location : Remote
Shift : 1:30 PM till 9:30 or 10:30 PM IST for US team coordination
Experience : 4+ years
Looking for Strong Power BI resource with Snowflake developer skillsets (Snowflake can be a developer skill set).
Work distribution will be more on Power BI and less on Snowflake.
On the AWS connect reporting project, the resource will perform the following functions:


Show More
Report",₹5L - ₹16L,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
151,"Accenture
4.1",Applied Intelligence - Marketing - Data Science (Regular) - 07,India,"About Accenture:
Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries,we offer Strategy and Consulting,Technology and Operations Services, and Accenture Song - all powered by the world's largest network of Advanced Technology and Intelligent Operations centers. Our 699,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities. Visit us at www.accenture.com

Manager in Applied Intelligence

An analyst/consultant in Applied intelligence understands the importance of sound analytical decision-making, relationship of tasks to the overall project, and executes projects in the context of a business performance improvement initiative.
Duties and Responsibilities:
o Define data requirements for creating a model and understand the business problem
o Clean, aggregate, analyze, interpret data and carry out quality analysis of it
o 5-10+ years of advanced experience of Market Mix Modeling and related concepts of optimizing promotional channels and budget allocation
o Experience in working with non linear optimization techniques.
o Proficiency in Statistical and Probabilistic methods such as SVM, Decision-Trees, Bagging and Boosting Techniques, Clustering
o Hands on experience in python data-science and math packages such as NumPy , Pandas, Sklearn, Seaborne, Pycaret, Matplotlib
o Development of AI/ML models
o Develop and Manage data pipelines
o Develop and Manage Data within different layers of Snowflake/Azure
o Aware of common design patterns for scalable machine learning architectures, as well as tools for deploying and maintaining machine learning models in production. Knowledge of cloud platforms and usage for pipelining and deploying and scaling marketing mix models.
Requirements:
Soft Skills

Educational Background/qualifications • Master degree in Statistics/Econometrics/ Economics from reputed institute • B Tech/M Tech from reputed engineering colleges • Masters/M Tech in Computer Science • M.Phil/Ph.D in statistics/econometrics or related field.
Show More
Report",#N/A,10000+ Employees,Company - Public,Management & Consulting,Business Consulting,1989,$10+ billion (USD)
152,Brave AI Lab,Python Interns,India,"About Us
Brave AI Lab’s mission is to imagine and create exceptional AI robots that enrich people’s lives. Building smart machines that can automate intelligent tasks. We see the products of this work as the next step in the human history of creating machines to reduce the danger, repetition, and physically demanding aspects of work. We're a multidisciplinary team of professionals working every day to make that vision a reality, building a commercial company from our roots in AI robotics research and development.
We need a Robotic Engineer to design, build, and optimize robots. This position requires an academic and/or practical background in computer science, and mechanical and electronic engineering. Experience integrating mechanical elements with electronic controllers and programming is a huge advantage.

Major Responsibilities
Show More
Report",#N/A,1 to 50 Employees,Company - Private,Information Technology,Information Technology Support Services,2020,$1 to $5 million (USD)
153,"Cactus Communications Services Pte. Ltd.
4.1",Technology Internship - SQL Optimisation,India,"Job description:
Please note: We are a remote-first organization so you can work from anywhere in India. You may be required to travel to our Mumbai office based on business requirements or for company/team events.

As a SQL Optimisation Intern, you'll dive headfirst into the heart of our applications, working alongside our talented development team to ensure that every database query hums along at optimal speed. You'll be the detective of the digital world, analysing SQL log digests, identifying bottlenecks, and transforming sluggish queries into lightning-fast marvels.
Job responsibilities:
Unveiling the Story: Delve into the intricate tales told by our SQL log digest, deciphering the nuances and mysteries of database interactions.
Query Conquest: Fearlessly tackle the most time-consuming queries, using your keen analytical skills to unravel their secrets and unveil opportunities for enhancement.
Qualifications and prerequisites:
Additional information:
About CACTUS:
Awards and recognition:
Show More
Report",#N/A,1001 to 5000 Employees,Company - Private,Management & Consulting,Research & Development,2002,Unknown / Non-Applicable
154,8848 Digital LLP,Machine Learning Engineer,Remote,"Degree in Computer Science, Data Science or a related field.
Knowledge of NLP, Computer Vision and document information extraction.
Proven experience with data analysis, wrangling, and transformation.
Extensive experience with Python and libraries such as Pandas, Scikit-Learn, Py Torch, Hugging Face, MM detection and MM Classification.
Demonstrated experience in building, training, and optimizing deep learning models to resolve NLP task such as Token Classification and Text Classification using the Hugging Face library.
Demonstrated experience in training Computer Vision models for Image Classification, Object Detection and Segmentation.
Understanding of key machine learning concepts and metrics, such as F-measure.
Proficient in using Google Co lab and Weights & Biases for building and tracking ML experiments.


Show More
Report",₹12L,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
155,"Accenture
4.1",Applied Intelligence - Marketing - Data Science - 09,India,"About Accenture:
Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries,we offer Strategy and Consulting,Technology and Operations Services, and Accenture Song - all powered by the world's largest network of Advanced Technology and Intelligent Operations centers. Our 699,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities. Visit us at www.accenture.com

CL-9 JD .4-5 Years of experience. andlt;br or andgt; Data Science conversational consultant is expected to assist in designing or improving the solution architectures. He or She is responsible for building conversational interfaces and virtual agents for customers. He or She is also expected to provide technical assistance to the team in developing deploying and managing the solution while maintaining the industry standards in proposing and developing the solutions. As part of this role the candidate is expected to have experience and be well versed in the following:andlt;br or andgt; Must Have :-andlt;br or andgt; • Fallout Analytics NLP Journey Analytics Audio Personification Customer analyticsandlt;br or andgt; • Concepts of Intent Entity Fallback Management and Context Managementandlt;br or andgt; • Dialogflow ES or CXandlt;br or andgt; • Webhooks and Ngrok programming language like Python SQL.andlt;br or andgt; • Omni Channel Integrationandlt;br or andgt; • Regression Testingandlt;br or andgt; Good To Have :-andlt;br or andgt; • Node.jsandlt;br or andgt; • Understanding of CI or CD pipelines.andlt;br or andgt; • Experience with proposing solution architectures

NA
Show More
Report",#N/A,10000+ Employees,Company - Public,Management & Consulting,Business Consulting,1989,$10+ billion (USD)
156,eigital - redefining digital,AI & MACHINE LEARNING Associate Manager (MID-LEVEL),Remote,"JOB DESCRIPTION: AI & MACHINE LEARNING
WHAT WE ARE LOOKING FOR
We are seeking a highly skilled Ai & Machine Learning Engineer with a proven history of creative thinking and outstanding proficiency in Ai & Machine Learning.
Role and Responsibilities As a Ai & Machine Learning Engineer, you will be responsible for creating machine learning models and retraining systems. To do this job successfully, you need exceptional skills in statistics and programming. If you also have knowledge of data science and software engineering, we’d like to meet you.
Responsibilities
Study and transform data science prototypes
Show More
Report",₹35T - ₹50T,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
157,ThinkAI India Consulting Pvt Ltd,Data Analyst,Indore,"Responsibilities:
· Proficiency in SQL for data extraction, manipulation, and querying from relational databases.
· Strong programming skills in Python for data analysis, manipulation, and automation tasks.
· Advanced proficiency in Microsoft Excel and Google Sheets for data analysis and reporting.
· Experience with data visualization tools such as Power BI, Tableau, or similar platforms to create insightful and interactive dashboards.
· Strong analytical and problem-solving skills, with the ability to work with complex and unstructured datasets.
· Excellent communication skills, both written and verbal, with the ability to present findings to non-technical stakeholders.
Show More
Report",₹12L,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
158,"American Express Global Business Travel
3.9",BI Analyst,India,"Amex GBT is a place where colleagues find inspiration in travel as a force for good and – through their work – can make an impact on our industry. We’re here to help our colleagues achieve success and offer an inclusive and collaborative culture where your voice is valued.

Ready to explore a career path? Start your journey.
American Express Global Business Travel (GBT) equips companies of all sizes with the insights, tools, services and expertise they need to keep their travelers informed, focused and productive while on the road. With approximately 18,000 employees and operations in nearly 140 countries worldwide, American Express GBT empowers customers to take control of their travel programs, optimizing the return on their travel and meetings investments, while, more importantly, providing extraordinary traveler care.
American Express Global Business Travel (GBT) is a global leader in business travel and meetings management committed to helping business succeed through cost-effective program management, world-class customer service, and enhanced traveller productivity support worldwide. GBT brings the talent, tools, and management consulting acumen needed to help manage companies’ T&E spend and maximize the return on their investments in employee travel and other areas of indirect cost. Specialized expertise includes: T&E policy, sourcing and supplier management, change management and compliance management, business intelligence, on-going travel category management, payment and expense reimbursement management, and related business process outsourcing (BPO) best practices.

India - Virtual Location

Show More
Report",#N/A,10000+ Employees,Company - Public,Hotel & Travel Accommodation,Travel Agencies,1915,Unknown / Non-Applicable
159,eigital - redefining digital,AI & MACHINE LEARNING Manager (SENIOR LEVEL),Remote,"JOB DESCRIPTION: AI & MACHINE LEARNING
WHAT WE ARE LOOKING FOR
We are seeking a highly skilled Ai & Machine Learning Engineer with a proven history of creative thinking and outstanding proficiency in Ai & Machine Learning.
Role and Responsibilities As a Ai & Machine Learning Engineer, you will be responsible for creating machine learning models and retraining systems. To do this job successfully, you need exceptional skills in statistics and programming. If you also have knowledge of data science and software engineering, we’d like to meet you.
Responsibilities
Study and transform data science prototypes
Show More
Report",₹40T - ₹80T,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
160,Firstcareer,Data Science/Analyst Instructor,Indore,"Responsibilities:
We are looking for Instructors who can take sessions on the following modules of Data Science and Data Analysis :
Excel
SQL
Python
Power BI
Machine learning
Deep Learning
Keeping a check on the interactivity of the team.
Show More
Report",₹7T - ₹8T,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
161,Rudrateck Solution,Data Analyst,New Delhi,"RESPONSIBILITIES:
1. Organising data related to sales numbers, market research, telecalling activities and telecaller behaviour
2. Developing and maintaining databases and data systems- reorganising data in readable format
3. Using statistical tools to identify, analyze, and interpret patterns and trends in complex data sets-helpful for the diagnosis and prediction; Creating business dashboards for EDA
4. Filter data by reviewing reports and performance indicators to identify and correct MIS/Process/Code problems
5. Analyzing numbers of essential business channels so that business performance can be assessed & compared over period of time
Show More
Report",₹8L,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
162,"Microsoft
4.3",Silicon Engineer - Internship Opportunities,India,"Every year, we welcome thousands of university students from every corner of the world to join Microsoft. You bring your aspirations, talent, potential—and excitement for the journey ahead.

At Microsoft, Interns work on real-world projects in collaboration with teams across the world, while having fun along the way. You’ll be empowered to build community, explore your passions and achieve your goals. This is your chance to bring your solutions and ideas to life while working on cutting-edge technology. The internship is designed not only for you to do great work with the opportunity to learn and grow, but to experience our culture full of diverse community connection, executive engagement, and memorable events.

We’re a company of learn-it-alls rather than know-it-alls and our culture is centered around embracing a growth mindset, a theme of inspiring excellence, and encouraging teams and leaders to bring their best each day. Does this sound like you? Learn more about our cultural attributes.
Are you ready to join us and create the future? Come as you are, do what you love—start your journey with us today!




Microsoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations.
Show More
Report",#N/A,10000+ Employees,Company - Public,Information Technology,Computer Hardware Development,1975,$10+ billion (USD)
163,Edureka learning center,Data science trainer,Madurai,"DATA Science Trainer
Veranda Edureka Learning Center KK nagar, Madurai, Tamil Nadu
Qualification: B.E/B.Tech./M.Tech./MCA in the relevant field of study. Should have worked in
Experience: minimum 5 year experience
Salary:3,500/day
Incentives:Based on the performance.
And who are interested to learn and adapt to new technologies.
To be successful as a faculty, you should review/prepare/assessments that enrich and challenge students.


Show More
Report",₹11L,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
